1a2y	354	38	7	120	24	0	59	33	0.175141	0.358757	0.533898
1amx	150	12	2	79	0	0	20	11	0.080000	0.540000	0.620000
1anu	138	0	2	74	0	0	23	10	0.000000	0.550725	0.550725
1aoh	291	8	5	161	0	0	44	20	0.027491	0.570447	0.597938
1b88	229	0	4	112	6	0	28	20	0.026201	0.506550	0.532751
1b9r	105	16	1	14	3	0	23	9	0.180952	0.142857	0.323810
1bm7	229	14	4	118	0	0	34	12	0.061135	0.532751	0.593886
1bmz	229	14	4	118	0	0	34	13	0.061135	0.532751	0.593886
1bvk	711	73	15	234	37	0	121	79	0.154712	0.350211	0.504923
1bz8	253	15	2	114	0	0	33	29	0.059289	0.458498	0.517787
1bzd	255	14	5	121	0	0	34	27	0.054902	0.494118	0.549020
1c4p	541	60	16	221	0	0	43	56	0.110906	0.438078	0.548983
1c76	121	12	0	54	0	0	19	8	0.099174	0.446281	0.545455
1c77	259	24	1	106	0	0	37	27	0.092664	0.413127	0.505792
1c78	259	24	0	106	0	0	37	27	0.092664	0.409266	0.501931
1c79	259	24	0	106	0	0	37	27	0.092664	0.409266	0.501931
1com	1397	228	0	396	218	0	121	110	0.319256	0.283465	0.602720
1dfu	94	16	1	40	4	0	7	11	0.212766	0.436170	0.648936
1dvt	230	14	2	120	0	0	35	14	0.060870	0.530435	0.591304
1dvy	230	12	2	120	0	0	37	14	0.052174	0.530435	0.582609
1eaj	245	0	4	119	12	0	36	24	0.048980	0.502041	0.551020
1em7	56	14	0	23	0	0	6	5	0.250000	0.410714	0.660714
1eo6	234	77	8	44	0	0	33	18	0.329060	0.222222	0.551282
1eta	255	13	2	110	0	0	32	31	0.050980	0.439216	0.490196
1etb	236	14	2	122	0	0	33	18	0.059322	0.525424	0.584746
1f2x	253	9	0	122	12	0	41	16	0.083004	0.482213	0.565217
1f5w	246	0	4	121	12	0	36	24	0.048780	0.508130	0.556911
1f86	231	14	2	121	0	0	31	16	0.060606	0.532468	0.593074
1fvc	460	0	2	234	12	0	72	35	0.026087	0.513043	0.539130
1g1k	287	8	6	158	12	0	26	24	0.069686	0.571429	0.641115
1gb4	57	15	2	14	0	0	5	7	0.263158	0.280702	0.543860
1gke	483	26	6	214	0	0	69	45	0.053830	0.455487	0.509317
1gko	461	26	12	228	0	0	68	31	0.056399	0.520607	0.577007
1gnu	117	38	4	22	0	0	16	9	0.324786	0.222222	0.547009
1h8c	82	15	2	27	0	0	14	7	0.182927	0.353659	0.536585
1hz5	145	38	0	56	6	0	10	4	0.303448	0.386207	0.689655
1hz6	195	54	0	84	9	0	12	6	0.323077	0.430769	0.753846
1i3o	699	178	20	130	34	0	105	58	0.303290	0.214592	0.517883
1i3v	259	0	1	140	21	0	27	23	0.081081	0.544402	0.625483
1i9e	115	0	2	56	6	0	10	10	0.052174	0.504348	0.556522
1ic4	352	38	9	114	22	0	64	33	0.170455	0.349432	0.519886
1ict	935	56	9	466	3	0	112	98	0.063102	0.508021	0.571123
1ie4	483	27	3	239	0	0	65	53	0.055901	0.501035	0.556936
1ieh	135	0	2	54	0	0	13	25	0.000000	0.414815	0.414815
1igd	61	14	0	26	0	0	6	4	0.229508	0.426230	0.655738
1j05	463	0	7	224	30	0	55	42	0.064795	0.498920	0.563715
1jf8	130	52	1	22	0	0	12	13	0.400000	0.176923	0.576923
1jhl	355	38	6	120	19	0	66	36	0.160563	0.354930	0.515493
1jrk	596	135	8	227	12	0	60	43	0.246644	0.394295	0.640940
1k26	298	64	3	114	9	0	27	24	0.244966	0.392617	0.637584
1k53	145	38	0	56	6	0	10	4	0.303448	0.386207	0.689655
1kgi	484	25	3	241	0	0	72	41	0.051653	0.504132	0.555785
1km7	100	24	5	22	0	0	12	11	0.240000	0.270000	0.510000
1kmt	277	0	1	154	15	0	23	23	0.054152	0.559567	0.613718
1kot	119	38	5	18	0	0	11	17	0.319328	0.193277	0.512605
1l2n	76	12	0	20	0	0	10	11	0.157895	0.263158	0.421053
1lm8	363	83	12	84	15	0	40	24	0.269972	0.264463	0.534435
1lqb	364	83	10	84	15	0	43	22	0.269231	0.258242	0.527473
1m94	73	16	2	27	0	0	13	6	0.219178	0.397260	0.616438
1mel	521	86	12	139	31	5	109	38	0.234165	0.289827	0.523992
1mff	344	96	3	102	36	0	20	26	0.383721	0.305233	0.688953
1mfw	106	12	1	21	7	0	15	17	0.179245	0.207547	0.386792
1mg4	101	12	1	21	7	0	16	15	0.188119	0.217822	0.405941
1mvf	339	12	5	160	15	0	46	26	0.079646	0.486726	0.566372
1nam	616	67	6	245	9	0	58	73	0.123377	0.407468	0.530844
1nme	239	60	6	53	9	0	33	19	0.288703	0.246862	0.535565
1npu	116	0	0	65	3	0	12	13	0.025862	0.560345	0.586207
1nvi	225	74	2	67	0	0	19	12	0.328889	0.306667	0.635556
1oaq	231	0	1	124	15	0	34	8	0.064935	0.541126	0.606061
1oar	857	0	3	461	42	0	112	37	0.049008	0.541424	0.590432
1oau	720	0	0	335	48	0	81	40	0.066667	0.465278	0.531944
1oax	681	0	2	348	36	0	84	52	0.052863	0.513950	0.566814
1oo2	467	31	0	232	12	0	62	34	0.092077	0.496788	0.588865
1p7e	56	14	0	24	0	0	6	4	0.250000	0.428571	0.678571
1pav	78	20	3	9	0	0	7	11	0.256410	0.153846	0.410256
1pga	56	14	0	24	0	0	6	4	0.250000	0.428571	0.678571
1pgx	70	14	0	28	0	0	6	5	0.200000	0.400000	0.600000
1ppx	129	18	2	37	6	0	18	13	0.186047	0.302326	0.488372
1pqe	117	11	0	59	5	0	15	6	0.136752	0.504274	0.641026
1pun	129	17	3	30	6	0	17	17	0.178295	0.255814	0.434109
1pus	129	19	1	37	6	0	19	11	0.193798	0.294574	0.488372
1qd0	128	0	0	59	0	0	18	15	0.000000	0.460938	0.460938
1qp1	323	0	0	161	9	0	45	31	0.027864	0.498452	0.526316
1qqr	550	60	10	229	3	0	54	50	0.114545	0.434545	0.549091
1rlf	90	12	0	27	0	0	16	10	0.133333	0.300000	0.433333
1sn0	466	32	3	220	6	0	73	29	0.081545	0.478541	0.560086
1sn2	466	30	1	226	6	0	74	27	0.077253	0.487124	0.564378
1sn5	466	31	3	220	9	0	68	29	0.085837	0.478541	0.564378
1so9	131	0	3	43	4	0	15	22	0.030534	0.351145	0.381679
1sp0	131	0	0	55	4	0	18	14	0.030534	0.419847	0.450382
1ssn	136	12	1	38	3	0	11	24	0.110294	0.286765	0.397059
1tbe	149	24	4	47	13	0	20	7	0.248322	0.342282	0.590604
1tfp	229	0	0	111	3	0	36	27	0.013100	0.484716	0.497817
1tjn	125	40	0	29	0	5	10	17	0.360000	0.232000	0.592000
1ttc	255	13	3	119	0	0	34	29	0.050980	0.478431	0.529412
1tum	129	14	8	23	3	5	4	23	0.170543	0.240310	0.410853
1tvd	233	0	0	116	18	0	23	18	0.077253	0.497854	0.575107
1tyr	255	14	3	119	0	0	33	31	0.054902	0.478431	0.533333
1ufy	121	26	0	34	18	0	7	8	0.363636	0.280992	0.644628
1ugm	113	37	2	25	0	0	14	12	0.327434	0.238938	0.566372
1ui9	116	25	0	33	12	0	10	8	0.318966	0.284483	0.603448
1v5o	102	15	4	24	3	5	8	7	0.225490	0.274510	0.500000
1v80	76	16	1	17	3	0	9	5	0.250000	0.236842	0.486842
1ves	227	0	2	124	6	0	22	15	0.026432	0.555066	0.581498
1vhp	117	0	8	31	3	0	16	15	0.025641	0.333333	0.358974
1vjk	87	17	5	22	5	0	11	10	0.252874	0.310345	0.563218
1w19	737	350	10	130	15	0	65	62	0.495251	0.189959	0.685210
